Verse Number,Verse Text,
21,"Yezu mumane kuenda mutantshi, kumonaye kabidi bana bakuabu babidi ba muntu umue, Yakobe ne Yowanane, bana ba Zebede. Bavua ne tatuabu Zebede mu buatu, balongolola makondu abu. Yezu kubabikila.",
22,"Diakamue kushiyabu buatu, kabidi ne tatuabu, kuyabu ne Yezu.",
23,"Yezu uvua wendakana mu ditunga dia Ngalileya dijima. Uvua ulongesha mu nzubu ya kutendelela, wambila bantu Lumu lua Disanka lua Bukalenga. Uvua ujikija kabidi masama ne matekete onsu avua bantu nawu.",
24,"Mu ditunga dijima dia Siriya, kutuadijabu kuyukidilangana bualu bua Yezu. Bavua bafika kudiye ne bantu bonsu bavua kabayi bumvue bimpe, bikale ne masama ne ntatu bishilangane. Munkatshi muabu muvua bavuabu bakuate kudi diabolu, bena tshiseke, ne bena tuneke. Yezu uvua ujikija masama abu onsu. ",
25,"Bantu ba bungi bavua balonda Yezu, batumine ku Ngalileya, ku buloba bua Bimenga Dikumi, ku Yerushalayime, ku Yudeya, ne ku buloba budi dishiya dia Yardene.",
1,"Yezu umona bantu bonsu aba, kubandaye pa mukuna, kusomba. Balongi bende kusemena kudiye.",
2,"Kutuadijaye kubalongesha, wamba ne:",
3,"Bantu badi batekemena amu kudi Mvidi Mukulu, ke bena diakalenga, bualu nebikale nende mu Bukalenga bua mu diulu!",
4,"Bantu badi banyingalala, ke bena diakalenga, bualu Mvidi Mukulu neabasambe!",
5,"Bantu badi ne bupole, ke bena diakalenga, bualu nebapiane buloba buvua Mvidi Mukulu mubalaye!",
6,"Bantu badi bajinga muabu muonsu mua kukumbaja bidi Mvidi Mukulu musue, ke bena diakalenga, bualu Mvidi Mukulu neabakumbajile bionsu bidibu bajinga!",
7,"Bantu badi bafuila bakuabu luse, ke bena diakalenga, bualu Mvidi Mukulu neabafuile luse!",
8,"Bantu badi ne muoyi munonoke, ke bena diakalenga, bualu nebamone Mvidi Mukulu!",
9,"Bantu badi basombesha bantu nabu mu bupole, ke bena diakalenga, bualu Mvidi Mukulu neabinyike ne: mbana banyi!",
10,"Bantu badibu bakengesha bua padibu benza tshidi Mvidi Mukulu musue, ke bena diakalenga, bualu Bukalenga bua mu diulu budi buabu!",
11,"Padi bantu banupenda, banukengesha, nansha babenga bionsu binudi nuenza, amu bualu nudi balongi banyi, nudi bena diakalenga.",
12,"Sankayi, sangalayi, bualu Mvidi Mukulu neanusankishe bikole mu diulu. Bambi bavua banudianjidile, bavua babakengesha amu mushindu ewu.",
13,"Bu mudi luepu mu biseki, ke munudi nuenu mu bantu. Kadi pikala luepu lutshipale, tshidi mua kulutuisha kabidi ntshinyi? Kaluena ne diambuluisha kabidi to. Badi baluimansha, bantu baludiata.",
14,Nuenu nudi butoke budi bukenkela bantu pa buloba. Kabena mua kusokoka tshimenga tshiasa pa mukuna.,
15,"Kabena batemesha muendu bua kuubuikila mu kapanza. Kadi badi bauteka pa tshitekelu tshiawu, bua ukenkele bantu bonsu badi mu nzubu.",
16,"Ke mudi butoke buenu ne bua kukenkela bantu, bua bamone malu mimpe anudi nuenza, batumbishe Tatu wenu udi mu diulu.",
17,"Kanuedi meji ne: ndi mulue bua kubenga mikenji ya Moshe, nansha dilongesha dia bambi. Tshiena mulue kubibenga, kadi kubikolesha.",
18,"Ndi nnujadikila bulelela ne: too ne muajimina diulu ne buloba, kabena mua kukupula dileta nansha dikese, kalu nansha kamue ka mu mikenji. Bionsu bidi mikenji yamba, nebikumbane.",
19,"Padi muntu ubenga mukenji, nansha wowu mukese ku yonsu, ulongesha bakuabu mua kuubenga, mu Bukalenga bua mu diulu neikale mukese ku bantu bonsu. Kadi muntu udi utumikila ku mukenji, ulongesha bakuabu mua kuukumbaja, nebamuangate ne mushinga mu Bukalenga bua mu diulu.",
20,"Ndi nnujadikila ne: nenubuele mu Bukalenga bua mu diulu, amu panudi nutumikila ku mikenji ya Mvidi Mukulu, bapite balongeshi ba mikenji, ne Baparushe.",
21,Nudi bamanye muvuabu bakandike bankambua betu ne: “Kanushipi muntu.,
22,"Kadi meme ndi nnuambila ne: muntu yonsu udi ufikila muanabu munda, nebaye nende kudi ndumbulula. Yonsu udi upenda muanabu ne: “Tshidingidingi,” nebaye nende ku Tshipangu tshikulu. Yonsu udi upenda muanabu ne: “Mupale,” nebamuele mu kapia ka mu kandondu.",
23,"Nanku paudi uya bua kulambula Mvidi Mukulu mulambu webe pa tshilambuilu, wewe muvuluke ne: muanetu udi nanyi bualu,",
24,"shiya mulambu webe awu kumpala kua tshilambuilu, upingane bua wanji kunua tshibalu ne muanenu; pashishe upingane, ulambule Mvidi Mukulu mulambu webe.",
25,"Pikala muntu mukufunde, kabidi nuye nende pamue kudi ndumbulula, keba mua kumvuangana nende lukasa, panutshidi mu njila apu. Kuyi mumvuangane nende, neakukuatshishe kudi mulumbuluishi. Awu pende neakufile kudi mulami wa bena lukanu, bua bakuele mu nzubu wa lukanu.",
26,"Ndi nkujadikila bulelela ne: kuena upatukamu, too ne pawajikija dibanza dionsu.",
27,"Nudi bamanye muvuabu bakandike ne: “Kanubueledi mukaji wa bende mu nzubu.""",
28,"Kadi meme ndi nnuambila ne: muntu yonsu udi utangila mukaji wa bende, umualakana, mmumane kuenda nende tshiendenda mu muoyi wende.",
29,"Pikala disu diebe dia ku dia balume dikufikisha ku bubi, uditonkone, udimanshe kule. Bualu mbimpe kujimija tshitupa tshimue tshia mubidi webe, pa mutu pa kuelabu mubidi webe mujima mu kandondu.",
30,"Pikala tshianza tshiebe tshia ku dia balume tshikufikisha ku bubi, utshikose, utshimanshe kule. Bualu mbimpe kujimija tshitupa tshimue tshia mubidi webe, pa mutu pa wewe kubuela mu kandondu ne mubidi webe mujima.",
31,"— Bavua bamba ne: “Muntu udi wipata mukajende, udi ne bua kumupesha mukanda wa dishipa dia dibaka.",
32,"Kadi meme ndi nnujadikila ne: muntu yonsu udi ubenga mukajende kashidi (katuena tuamba bua badi bangatangana mu buendenda), udi umusaka ku buendenda pikala mukaji awu mubuele mu dibaka dikuabu. Kabidi muntu yonsu udi wangata mukaji wa bende awu, udi amu wenda tshiendenda.",
33,"— Nudi bamanye muvuabu bakandike kabidi bankambua betu ne: “Kanunyangi mutshipu wenu. Nukumbaje malaya anuvua balaye Maweja-Nangila.""",
34,"Kadi meme ndi nnukandika ne: kanuditshipi nansha kakese: kanutedi diulu, bualu mmuaba udi Mvidi Mukulu usomba.",
35,"Kanutedi buloba, bualu mmuaba udiye udiata. Kanutedi Yerushalayime, bualu ntshimenga tshia Mukalenga munene.",
36,"Kuditshipa utela mutu webe, bualu kuena mua kufikisha nansha kutekesha lusuki nansha lumue lua ku mutu webe.",
37,"Nuikale nuitaba amu ne: “eyowa”, nansha nubenga ne: “to.” Bionsu binudi nusakidila bidi bifuma kudi Muena bubi.",
38,"— Nudi bamanye muvuabu bambe ne: “Disu dipitakane ne disu, dinu dipitakane ne dinu.""",
39,"Kadi meme ndi nnukandika ne: kanusombuedi muntu udi unuenzela bibi. Padi muntu ukukuma dipi ku ditama dia balume, umuandamuine kabidi ditama dia bakaji.",
40,"Pikala muntu mukufunde ku tshilumbu, bua kuangata tshilamba tshiebe tshia pambidi, umulekele, angata kabidi tshinkutu tshiebe.",
41,"Pikala muntu ukuenzeja ku bukole bua wambule bujitu mutantshi wa kilometre umue, utungunuke ne bujitu abu kilometre ibidi.",
42,"Padi muntu ukulomba tshintu, umupeshe. Padi muntu musue kukusomba tshintu, umusombeshe.",
43,"Nudi bamanye muvuabu bambe ne: “Nanga muanenu,  kina muluishi webe.”",
44,"Kadi meme ndi nnuambila ne: nangayi bena lukuna benu, mu ditendelela lombelayi badi banukengesha.",
45,"Nanku nenuikale bana ba Tatu wenu udi mu diulu, bualu Yeye udi ubandishila bantu babi ne bantu bimpe diba diende; kabidi udi utekesha mvula bua bantu bonsu, bua badi benza bimpe, ne bua badi benza bibi.",
46,"Panudi nunanga anu bantu badi banunanga, nenupete difutu kudi Mvidi Mukulu mushindu kaayi? Nansha balambuishi ba bitadi badi benza pabu nanku!",
47,"Panudi nuela anu bana benu muoyi, nudi nuenza bualu bupiabupia bua dikema anyi? Bantu ba bisamba bikuabu badi benza pabu nanku.",
48,"Nuikale bantu balenga tshishiki, bu mu Tatu wenu udi mu diulu mulenga tshishiki.",
1,"— Dimukayi: kanuenji malu enu mimpe bua mesu a bantu, bua kunumonabu. Nuenu benze nanku, Tatu wenu udi mu diulu kena unufuta to.",
2,"— Nanku paudi wambuluisha bapele, kukebi bua bantu bakumone bimpe. Bena mpala ibidi badi benza nanku mu nzubu ya kutendelela ne mu misesu. Badi bakeba amu bua bantu babatumbishe. Ndi nnujadikila bulelela ne: mbamane kupeta difutu diabu.",
3,"Kadi wewe, paudi wambuluisha bapele, enza mushindu udibu kabayi mua kumanya nansha kudi mulunda webe menemene.",
4,"Nanku diambuluisha diebe dikale dia mu musokoku. Mvidi Mukulu, Tatu webe, udi umona biudi wenza mu musokoku, neakufute.",
5,"Panudi nutendelela, kanuenji bu bena mpala ibidi to. Mbasue kutendelela, bimane mu nzubu ya kutendelela, ne mu masangu a njila, bua bantu bonsu babamone. Ndi nnujadikila bulelela ne: mbamane kupeta difutu diabu.",
6,"Kadi wewe, paudi musue kutendelela, ubuele mu nzubu muebe, winjile tshiibi, utendelele Tatu webe, udi kayi umueneka ku mesu a bantu. Nanku Tatu webe udi umona biudi wenza mu musokoku, neakufute.",
7,"— Panudi nutendelela, kanuambi meyi mapite bungi, bu mudibu benza kudi bantu ba bisamba bikuabu. Badi bela meji ne: bua Mvidi Mukulu atuteleje, anu tuetu bambe meyi mavule.",
8,"Kanubidikiji to. Bualu Tatu wenu Mvidi Mukulu mmumanye bionsu binudi nabi dijinga, diambedi kanuyi banji kumulombabi.",
9,"Nutendelele mushindu ewu: “Tatu wetu udi mu diulu, dina diebe dia tshijila ditumbe;",
10,"Bukalenga buebe bufike; biudi musue bienzeke pa buloba, bu mudibi bienzeka mu diulu.",
11,Utupe tshiakudia tshietu ku dituku ku dituku.,
12,"Utufuile luse ku malu etu mabi, bu mutudi tufuila badi batuenzela bibi luse.",
13,"Kutubueji mu ditetshibua, kadi utusungile kudi Muena bubi. Bualu wewe ke udi ne bukalenga, bukole ne butumbi, kashidi tshiendelele. Amene.”",
14,"Nanku panudi nufuila bantu bakuabu luse, bua malu mabi adibu banuenzela, Tatu wenu udi mu diulu neanufuile penu luse.",
15,"Kadi panuikala kanuyi nufuila bantu bakuabu luse, bua malu mabi adibu banuenzela, Tatu wenu kabidi kena unufuila luse bua mibi yenu to.",
16,"— Panudi nujila biakudia, kanushadi babungame bu mudi bena mpala ibidi benza. Badi banyenga mpala, bua bantu bonsu babamone ne: mbajile biakudia. Ndi nnujadikila bulelela ne: mbamane kupeta difutu diabu.",
17,"Kadi wewe, paudi ujila biakudia, wowe mayi kuisu, wele nsuki tshisaku,",
18,"bua bantu kabamanyi ne: udi mujile biakudia. Anu Tatu webe udi kayi umueneka, neamanye. Nanku Tatu webe udi umona biudi wenza mu musokoku, neakufute.",
19,"— Kanukungujidi bubanji buenu pa buloba to, padi misanda ne dimona mua kubunyanga, kabidi padi bivi mua kushipa biibi, kuiba.",
20,"Nutekelayi bubanji buenu anu muaba udi Mvidi Mukulu, mudi misanda ne dimona kabiyi mua kubunyanga, kabidi mudi bivi kabayi mua kushipa biibi, kuiba.",
21,"Bualu muaba uudi uteka bubanji buebe, ke muaba udi muoyi webe kabidi.",
22,"— Mesu adi bu muendu wa mubidi. Pikala mesu ebe amona bimpe, mubidi webe mujima udi mu butoke.",
23,"Kadi pikala mesu ebe kaayi amona bimpe, mubidi webe mujima udi mu midima. Nanku pikala butoke budi munda muebe buikale amu midima, newikale mu midima mikole be!",
24,"— Muntu nansha umue kena mua kuenzela bamfumu babidi mudimu to. Neanange umue, abenge mukuabu; nansha neitabe umue, adiule mukuabu. Kanuena mua kuenzela Mvidi Mukulu mudimu, kuenzela kabidi ne biuma musangu umue.",
25,"— Ke mundi nnuambila ne: kanuditatshishi bua biakudia ne bua biakunua binudi nujinga, nansha bua bilamba bia kuvuala binudi nukengela. Bualu muoyi mmupite biakudia, mubidi mmupite bilamba. Ki mmomu anyi?",
26,"Tangilayi nyunyi idi ibuka mulu. Kayena ikuna biakudia, kayena inowa, kayena nansha iteka biakudia mu mayeba. Kadi Tatu wenu udi mu diulu udi uyidisha! Nuenu bantu, kanuena bapite nyunyi anyi?",
27,"Munkatshi muenu udi mua kuditatshisha, kusakidila dituku ku matuku ende a panu nnganyi?",
28,"— Nudi nuditatshisha bua bilamba bia kuvuala bua tshinyi? Tangilayi mudi bilongu bia mu mpata bidiunda. Kabiena bienza mudimu, kabiena bikuma bilamba.",
29,"Kadi ndi nnuambila ne: nansha Shelomu, uvua ne bubanji bua bungi, kavua ne bilamba bimpe bipite tshilongu nansha tshimue!",
30,"Mvidi Mukulu udi uvuadika bisosa, bidi lelu mu mpata, maloba babiosha. Nanku kena mua kunuvuadika nuenu bantu bilamba bimpe bipite anyi? Kadi ditaba dienu ndikese be!",
31,"Nanku kanuditatshishi, nuebejangana ne: “Netudie tshinyi? Netunue tshinyi? Netuvuale tshinyi?”",
32,"Anu bantu badi kabayi bamanye Mvidi Mukulu bimpe, ke badi bakeba amu kukeba bionsu abi nanku. Kadi Tatu wenu udi mu diulu mmumanye ne: nudi dijinga ne bintu bionsu abi.",
33,Nuenu bangabanga nuditatshishe bua Bukalenga bua Mvidi Mukulu; nukumbaje tshidi Mvidi Mukulu musue. Nanku Yeye neanusakidile bikuabu bionsu abi.,
34,"Kanuditatshishi bua malu a maloba to. Patshiabu, malu a dituku adi neadikumbanyine. Lutatu ludi lumueneka ku dituku dionsu, ndukumbane bua dituku adi.",
1,"— Kanutangidi bantu bakuabu bu bantu babi, bua Mvidi Mukulu kanutangidi kabidi nanku.",
2,"Mushindu unudi nulumbuluisha bakuabu, Mvidi Mukulu neanulumbuluishe kabidi nanku. Neanupime munudi nupimangana.",
3,"Udi utangila anu kasosa mu disu dia muanenu, kuyi umona mutshi munene udi mu disu diebe bua tshinyi?",
4,"Mmunyi muudi mua kuambila muanenu ne: “Semena apa, nkumushe kasosa mu disu,” kadi wewe ne mutshi munene mu diebe disu!",
5,"Muena mpala ibidi we, bangabanga umusha mutshi munene mu disu diebe, nenku neumone bimpe bua kumusha kasosa kadi mu disu dia muanenu.",
6,"— Tshintu tshia tshijila, kanutshieledi mbua, bua kayinukudimukidi, ikebe kunusuma. Kanueledi ngulube busanga, bua kayibudiatakaji.",
7,"— Lombayi, nebanupeshe; kebayi, nenusangane; kokolayi, nebanunzuluile tshiibi.",
8,"Bualu muntu yonsu udi ulomba, udi upeta. Udi ukeba, udi usangana. Udi ukokola, badi bamunzuluile tshiibi.",
9,"Nganyi wa kunudi udi mua kupesha muanende dibue, padiye umulomba diampa?",
10,"Nansha umupesha nyoka, padiye umulomba kanyinyi ka mu mayi?",
